Title,Genre,Plot,Keywords
Saratoga Trunk,drama,"In 1875, Clio Dulaine (Ingrid Bergman), the illegitimate daughter of an aristocratic New Orleans French Creole father and a light-skinned Creole woman of color who was his placée, returns from Paris to her birthplace in Rampart Street to avenge her mother's mistreatment at the hands of her father's family, the Dulaines. Years ago, Clio's mother accidentally killed Dulaine when he tried to prevent her from committing suicide, and the scandalized Dulaines then exiled Clio and her mother to Paris. Clio is accompanied by her Haitian maid, Angelique (Flora Robson), and her dwarf manservant, Cupidon (Jerry Austin).
After fixing up the rundown house in Rampart Street, Clio ventures out, hoping to encounter the Dulaines, now comprising her father's widow, the widow's mother, and the widow's daughter (and Clio's half-sister) Charlotte Thérèse. At the French marketplace, Clio stops for a bowl of jambalaya and is immediately attracted to Clint Maroon (Gary Cooper), a tall Texan in a white hat, who is eating at the counter. The attraction is mutual, and Clint offers to drive Clio to the cathedral in his carriage, but a disapproving Angelique interferes, and Clio leaves without him. After the service, Clio, Angelique, and Cupidon breakfast at Begue's, the restaurant patronized by the Dulaines every Sunday. Announcing to the maitre d' that she is a relative, Clio sits at the table reserved for the Dulaines, but when the Dulaines arrive, they recognize her by her resemblance to her mother and leave without a confrontation. Clint and Clio meet again at the restaurant, and afterward he drives her home.
Soon after, Clio and Clint begin a courtship. Eventually, Clint moves into Clio's house. Although they are in love with each other, Clio, who is obsessed with her plans for revenge, intends to marry a rich and powerful man to prove that she is as good as her father's family. Clint, a gambler, who never intends to marry, is out for revenge against the railroaders who ruined his father in Texas.
Clio continues to embarrass the Dulaines at every opportunity, planning, if necessary, to sabotage the society debut of her half-sister Charlotte Thérèse. Exasperated by Clio's unrelenting machinations, Clint leaves for Saratoga Springs, New York. As the result of Clio's scheming, the Dulaines pay her $10,000 and agree to destroy the Rampart Street house and bury her mother in a New Orleans cemetery. Later, Clio joins Clint in Saratoga Springs, where she plots to marry wealthy railroad heir Bartholomew Van Steed (John Warburton). Clio's arrival with Angelique and Cupidon causes quite a stir, and because the hotel is completely booked, Clint, who is now calling himself Colonel Maroon, offers Clio two of the rooms in his suite. Privately, he explains that Bart owns a railroad, the Saratoga Trunk, which is suddenly worth millions of dollars because it connects the coal country with New York.
Railroader Raymond Soule (Louis Payne), the same man who ruined Clint's father, is trying to steal the railroad from Bart. Clio poses as the widow of a French count, a claim that many doubt until she is unexpectedly backed up by socialite Mrs. Coventry Bellop (Florence Bates), who intensely dislikes Van Steed's mother. Clio's beauty and melodramatic posturing quickly capture Bart's attentions.
Meanwhile, Clint offers to save the Saratoga Trunk from Soule in exchange for shares in the railroad. When Clio learns that Bart is paying Clint to do his dirty work, she hysterically accuses him of cowardice and sends him away. This excites Bart, who explains that he knows about her background, but wants to marry her anyway. The costume ball that evening is interrupted by the arrival of Clint and Cupidon, who were seriously wounded during a pitched battle with Soule's men. Clio realizes that she loves Clint too much to marry another man and nurses him back to health. Clint then tells Clio that, having saved the Saratoga Trunk from Soule, his railroad shares have made him a very rich man, and he plans to eventually take over the trunk line himself from Van Steed.",drama clio dulaine ingrid bergman illegitimate daughter aristocratic new orleans french creole father light skin creole woman color placée return paris birthplace rampart street avenge mother mistreatment hand father family dulaine year ago clio mother accidentally kill dulaine try prevent commit suicide scandalize dulaine exile clio mother paris clio accompany haitian maid angelique flora robson dwarf manservant cupidon jerry austin fix rundown house rampart street clio venture hope encounter dulaine comprise father widow widow mother widow daughter clio half sister charlotte thérèse french marketplace clio stop bowl jambalaya immediately attract clint maroon gary cooper tall texan white hat eat counter attraction mutual clint offer drive clio cathedral carriage disapprove angelique interfere clio leave service clio angelique cupidon breakfast begue restaurant patronize dulaine sunday announce maitre d relative clio sit table reserve dulaine dulaine arrive recognize resemblance mother leave confrontation clint clio meet restaurant afterward drive home soon clio clint begin courtship eventually clint move clio house love clio obsess plan revenge intend marry rich powerful man prove good father family clint gambler intend marry revenge railroader ruin father texas clio continue embarrass dulaine opportunity planning necessary sabotage society debut half sister charlotte thérèse exasperate clio unrelenting machination clint leave saratoga spring new york result clio scheming dulaine pay agree destroy rampart street house bury mother new orleans cemetery later clio join clint saratoga spring plot marry wealthy railroad heir bartholomew van steed john warburton clio arrival angelique cupidon cause stir hotel completely book clint call colonel maroon offer clio room suite privately explain bart own railroad saratoga trunk suddenly worth million dollar connect coal country new york railroader raymond soule louis payne man ruin clint father try steal railroad bart clio pose widow french count claim doubt unexpectedly back socialite mrs coventry bellop florence bate intensely dislike van steed mother clio beauty melodramatic posturing quickly capture bart attention clint offer save saratoga trunk soule exchange share railroad clio learn bart pay clint dirty work hysterically accuse cowardice send away excite bart explain know background want marry costume ball evening interrupt arrival clint cupidon seriously wound pitched battle soule man clio realize love clint marry man nurse health clint tell clio having save saratoga trunk soule railroad share rich man plan eventually trunk line van steed
Evergreen Love,"drama, romance","Sayaka (Mitsuki Takahata) works at an office. She's not very good at her job or with love. One night, she finds a man, Itsuki (Takanori Iwata), collapsed in front of her home. She takes him inside and they begin to live together. Itsuki teaches Sayaka about cooking wild herbs and collecting wild herbs, but he has a secret.",drama romance sayaka mitsuki takahata work office good job love night find man itsuki takanori iwata collapse home take inside begin live itsuki teach sayaka cook wild herb collect wild herb secret
Broken Strings,drama,"Concert violinist Arthur Williams (Clarence Muse) and his manager Earl Wells (Earle Morris) are involved in a car accident in which Arthur's fingers are paralyzed. Instead of playing at concerts he becomes a music teacher. He favors his student Dickie Morley's (Matthew ""Stymie"" Beard) classical musical preferences over his own son John's (William Washington), which tends towards modern swing.
Arthur's daughter Grace (Sybil Lewis) is romantically interested in a man named Gus (Pete Webster), and they both work for the same company that makes hair products, which is owned by a James Stilton. Stilton's son, Sam (Edward Thompson), has a thing for grace and is jealous of the attention she gives Gus. As a result, Sam refuses to give Grace an advance when she needs to pay for her father's appointment at a doctor that specializes in neurology, Dr. Charles Matson (Jess Lee Brooks). The doctor promises Grace that she can pay the fee of $1,000 later, when her brother John has raised the money.
Sam goes on to frame Gus for something he didn't do, and when Gus finds out, both he and Grace quit their jobs at the Stilton company. Fortunately, Johnny is a big success at the Miller Café when he is playing swing.
Arthur is mad and chastizes his son for playing such, in his view, awful music, and punishes him by making him play the violin until he faints. Soon after, Grace tells her father that Johnny only played at the club so that they could pay for the neurologist and support themselves since she is currently between jobs. Arthur feels guilt over how he treated his son.
Johnny and Grace go on to enter a music contest broadcast on the radio. At first it looks like their performance will be stopped when two strings on his violin, but then he gets the idea to play swing, since there are enough strings for that. The rest of the radio musicians all start playing the same way, and the performance is a success. When his son wins the contest, Arthur realizes his talent, and starts to regain sensitivity enough in his fingers to applause his son. Later it turns out that Dickie had sabotaged the violin before the contest, for which he apologizes. Arthur continues his career as a violinist.[1]",drama concert violinist arthur williams clarence muse manager earl wells earle morris involve car accident arthur finger paralyze instead play concert music teacher favor student dickie morley matthew stymie beard classical musical preference son john william washington tend modern swing arthur daughter grace sybil lewis romantically interested man name gus pete webster work company make hair product own james stilton stilton son sam edward thompson thing grace jealous attention give gus result sam refuse grace advance need pay father appointment doctor specialize neurology dr charles matson jess lee brooks doctor promise grace pay fee later brother john raise money sam go frame gus gus find grace quit job stilton company fortunately johnny big success miller café play swing arthur mad chastize son play view awful music punish make play violin faint soon grace tell father johnny play club pay neurologist support currently job arthur feel guilt treat son johnny grace enter music contest broadcast radio look like performance stop string violin get idea play swing string rest radio musician start play way performance success son win contest arthur realize talent start regain sensitivity finger applause son later turn dickie sabotage violin contest apologize arthur continue career
One Got Fat,educational,"In the film, ten children, nine of whom have monkey faces, hats and tails, plan on going to the park for a picnic. They all ride there on their bikes together on the nine-block journey (all except one, whose bicycle was stolen and who instead had to run to keep up with his friends); seeing that one of their friends has a basket, they decide to have him carry all of their lunches to the park. Each one of the monkeys has a character flaw, and each disobeys a specific rule that prevents them from reaching the park. At each block, one of the monkeys is eliminated from the group because of the consequences of their disobedience—usually by way of a collision. In the end, only one of the friends (who not only followed all the bike safety rules, but is also a normal human, whose face is not shown until the very end) makes it to the park and, because he was the one with the basket, gets all of his friends' food to himself, even though he doesn't want it all. Thus, as the title says, ""One got fat!"" Three of the monkeys are seen in hospital beds.
In contrast to other social guidance films, One Got Fat is a dark comedy.",educational film child monkey face hat tail plan go park picnic ride bike block journey bicycle steal instead run friend see friend basket decide carry lunch park monkey character flaw disobey specific rule prevent reach park block monkey eliminate group consequence disobedience usually way collision end friend follow bike safety rule normal human face show end make park basket get friend food want title say get fat monkey see hospital bed contrast social guidance film get fat dark comedy
Straight to Hell,action,"The film opens with three hitmen, Willy, Norwood, and Simms (played by Dick Rude, Sy Richardson, and Joe Strummer, respectively) who are staying in a posh Los Angeles hotel. After failing a job, they take off in a car with a whiny pregnant woman named Velma (Courtney Love), who is in on their scheme. They then flee to Mexico to escape the wrath of their boss, Amos Dade (Jim Jarmusch), and rob a bank along the way. While driving through the desert, their car breaks down due to Simms having filled the gasoline tank with diesel by mistake. They bury their suitcase of money in the desert and begin to walk.
Night falls, and they come upon a town in the middle of the desert, where they see a demolished car with a corpse inside. They then enter an empty bar, where the three men get drunk and Velma angrily pesters them to leave. As they exit the bar, the wrecked car has vanished, but the men are too inebriated to notice it. The group camps out for the night, and the following morning, Velma witnesses several trucks of lively cowboys enter the town, carrying espresso machines with them. Much to the dismay of Velma, who insists they keep a low profile and leave, the three men enter the town, which is now full of townspeople, and go back to the bar.
There, they are confronted by a gang of cowboys addicted to coffee (The Pogues), and a shoot-out ensues, but they are ultimately welcomed by the townspeople. The bizarre townspeople include a couple who own a mercantile full of piñatas, a man running a hot dog stand, and countless cowboys and prostitutes, among others. The head honcho of the town, Tim McMahon (Biff Yeager), invites the gang to a party that evening. The following day, Tim McMahon's elderly father is pushed off of a building by his relative Sabrina McMahon (Kathy Burke) and dies. The entire town has a funeral procession for him, and at the funeral, a friend of Amos', named Whitey, shows up looking for the hitmen and Velma.
The town seizes Whitey for being a ""stranger"", and accuses him of the murder of the McMahon grandfather. During the burial of the grandfather, his hand comes up out of the dirt and grabs the priest's ankle, and the priest shoots into the ground, killing him. Meanwhile, on the gallows, Whitey begins to tell the town the truth about Amos and the hitmen, but is hanged before he can tell his story. A man named I.G. Farben (Dennis Hopper), who claims to be a house manufacturer, enters town with his wife Sonia (Grace Jones) and introduces himself to the gang and the rest of the townspeople, advertising his company. The next morning, Simms sees Amos' car enter the town, and tries to get a drunken Willy and Norwood to leave with Velma.
A series of shootouts begin between the townspeople, Amos' crew, and the hitmen, and I.G. Farben and Sonia provide high-grade weapons for the killers. Tim McMahon joins Amos' team after having wrongfully hanged Whitey, and everyone begins to turn against each other. As Simms and Willy run into the desert, a shootout ensues with the town priest. They reach the spot where they buried the money, and Simms shoots Willy as they are trying to lift the suitcase out of the ground. Simms then hears Velma laughing, and turns around only to be shot by Velma and one of the townsmen. After Velma shoots Simms several times, the townman with her is shot by Tim McMahon. Tim and Velma then take off arm-in-arm with the suitcase of money, while Simms and Willy die.
Meanwhile, in town, chaos has ensued, and the town hardware store is set on fire. Amos is shot in the head, and virtually everyone in the town is killed, aside from Norwood and several prostitutes. Tim and Velma leave the town in a truck with the suitcase of money, but accidentally drive off of a cliff when their brakes go out, and die as the car explodes in mid-air. Norwood leaves town with the prostitutes, and the film ends with Farben Oil Company trucks entering the town to drill for oil.
The end of the film announces an imminent sequel: Back to Hell, despite the fact that almost every main character is killed at the end of the film. Although the sequel was never made, upon the film's DVD release, Cox reassembled much of the cast and crew for a short documentary called Back to Hell, in which they reminisce about the making of the film.",action film open hitman willy norwood simms play dick rude sy richardson joe strummer respectively stay posh los angeles hotel fail job car whiny pregnant woman name velma courtney love scheme flee mexico escape wrath boss amos dade jim jarmusch rob bank way drive desert car break simms having fill gasoline tank diesel mistake bury suitcase money desert begin walk night fall come town middle desert demolish car corpse inside enter bar man drunk velma angrily pester leave exit bar wreck car vanish man inebriated notice group camp night follow morning velma witness truck lively cowboy enter town carry espresso machine dismay velma insist low profile leave man enter town townspeople bar confront gang cowboy addict coffee pogue shoot ensue ultimately welcome townspeople bizarre townspeople include couple mercantile piñata man run hot dog stand countless cowboy prostitute head honcho town tim mcmahon biff yeager invite gang party evening follow day tim mcmahon elderly father push building relative sabrina mcmahon kathy burke die entire town funeral procession funeral friend amos name whitey show look hitman velma town seize whitey strange accuse murder mcmahon grandfather burial grandfather hand come dirt grab priest ankle priest shoot ground kill gallow whitey begin tell town truth amos hitman hang tell story man name farben dennis hopper claim house manufacturer enter town wife sonia grace jones introduce gang rest townspeople advertise company morning simms see amos car enter town try drunken willy norwood leave velma series shootout begin townspeople amos crew hitman farben sonia provide high grade weapon killer tim mcmahon join amos team having wrongfully hang whitey begin turn simms willy run desert shootout ensue town priest reach spot bury money simms shoot willy try lift suitcase ground simms hear velma laughing turn shoot velma townsman velma shoot simms time townman shoot tim mcmahon tim velma arm arm suitcase money simms willy die town chaos ensue town hardware store set fire amos shoot head virtually town kill aside norwood prostitute tim velma leave town truck suitcase money accidentally drive cliff brake die car explode mid air norwood leave town prostitute film end farben oil company truck enter town drill oil end film announce imminent sequel hell despite fact main character kill end film sequel film dvd release cox reassemble cast crew short documentary call hell reminisce making film
El Madina (The City),drama,"In the center of El-Madina lives Ali, a young man who wants to act but is unable to find proper work. The only escape for his creative instincts, besides nightly conversations with a poster of Robert De Niro’s Raging Bull, is occasional bottom-of-the-line stage melodramas. Ali makes money as a butchers’ accountant in his neighborhood’s souq, where his father is a vegetable vendor. This quarter, Rod al-Faraj, is emblematic of a number of inner city neighborhoods in Cairo, which have been erased, and isolated their residents to desert suburbs by an Egyptian government, wanting to restore its historic monuments and attract tourists. Throughout the film, there’s a point at which Ali’s souq, slotted for tourist gentrification, is shut by the Egyptian internal security. He finally decides to escape Egypt and pursue acting in France. Two years later we do find him acting, not on stage but in the boxing ring. Unable to find legal work, he has fallen in with a fellow countryman who pays him to “throw” fights in crooked boxing matches. Ali is again stripped of his livelihood. After his business is forcibly absorbed by French gangsters, Ali’s partner betrays him and flees to Egypt, leaving him penniless and without an identity. Ultimately the actor finds himself back in Rod al-Faraj, having to start his life quite literally from scratch.[4]",drama center el madina live ali young man want act unable find proper work escape creative instinct nightly conversation poster robert de niro rage bull occasional line stage melodrama ali make money butcher accountant neighborhood souq father vegetable vendor quarter rod al faraj emblematic number inner city neighborhood cairo erase isolate resident desert suburb egyptian government want restore historic monument attract tourist film point ali souq slot tourist gentrification shut egyptian internal security finally decide escape egypt pursue act france year later find act stage boxing ring unable find legal work fall fellow countryman pay throw fight crooked boxing match ali strip livelihood business forcibly absorb french gangster ali partner betray flee egypt leave penniless identity ultimately actor find rod al faraj have start life literally
Private Road,drama,"Peter Morrisey (Bruce Robinson) is an author who has just published his first novel. He meets receptionist Ann Halpern (Susan Penhaligon) and falls in love. They spend some time in a cottage in Scotland living an idyllic pastoral life, then return to London. Peter gets a job at an advertising agency as a copywriter. Ann becomes pregnant and Peter asks her to marry him but she refuses. To Peter's shock, Ann decides to have an abortion without talking to him about it first. After a spell in hospital Ann returns home and her father gives her a house. Peter returns to his flat alone, still thinking that he will marry Ann. With his friend Stephen, Peter breaks into an office block and steals a typewriter so he can resume his writing career.",drama peter morrisey bruce robinson author publish novel meet receptionist ann halpern susan penhaligon fall love spend time cottage scotland live idyllic pastoral life return london peter get job advertising agency copywriter ann pregnant peter ask marry refuse peter shock ann decide abortion talk spell hospital ann return home father give house peter return flat think marry ann friend stephen peter break office block steal typewriter resume writing career
"Once More, My Darling",romantic comedy,"The last thing Collier ""Collie"" Lang wants to do is get married, but Marita ""Killer"" Connell has other ideas.
Collier, a confirmed bachelor, still lives with his mother, a high-powered attorney. When he is unexpectedly called up by the U.S. Army reserve with the rank of captain, Collier is given a peculiar assignment.
Superior officer Colonel Head, cooperating with law enforcement, tells Collier about a jewel heist and how one of the gems has been spotted in a perfume ad, worn by Marita, a young actress. There is suspicion that a jewel thief who loves Marita gave her this stolen item, not telling her where or how he got it.
Collier's odd assignment is to romance the young lady. Pretending to be a survey taker, he makes her acquaintance at a Beverly Hills hotel where Marita is immediately smitten. So much so that she insists on meeting his mother, crashing Mrs. Laing's party of distinguished guests in an altogether unsuitable outfit and offending them with the scent of her terrible perfume.
Marita manages to coax Collier into driving her to Las Vegas to get married. He tries to stall, then finally blurts out that he has no intention of marrying Marita when the jealous jewel thief bursts in on them. Collier must fight off him, then Marita's chauffeur, then even a passing truck driver.
A heartbroken and angry Marita wants nothing more to do with him, which is about the same time Collier realizes that he really has fallen in love with her.",romantic comedy thing colly collie lang want marry marita killer connell idea collier confirm bachelor live mother high power attorney unexpectedly call army reserve rank captain collier give peculiar assignment superior officer colonel head cooperate law enforcement tell colly jewel heist gem spot perfume ad wear marita young actress suspicion jewel thief love marita give steal item tell get collier odd assignment romance young lady pretend survey taker make acquaintance beverly hill hotel marita immediately smite insist meet mother crash mrs laing party distinguished guest altogether unsuitable outfit offend scent terrible perfume marita manage coax colly drive las vegas marry try stall finally blurt intention marry marita jealous jewel thief burst collier fight marita chauffeur pass truck driver heartbroken angry marita want time collier realize fall love
Dil,action / romance,"Seenu (Nithin) is a new admit at Maharaja College of Arts and Sciences. Nandini (Neha) goes to the same college. Seenu is from a middle-class family. She is the only daughter of Gowri Shankar (Prakash Raj), who is a land mafia don.
Gowri Shankar's assistant suspects them to be lovers after he finds them dancing at the freshers celebration at college. Seenu gets beaten up badly. Irritated by this, Seenu is challenged to win Nandini's love. After few attempts, she falls in love with him. They elope and get married when Gowri Shankar tries to separate them. The story takes few turns before it ends in a happy note.",action romance seenu nithin new admit maharaja college art science nandini neha go college seenu middle class family daughter gowri shankar prakash raj land mafia don gowri shankar assistant suspect lover find dance fresher celebration college seenu get beat badly irritate seenu challenge win nandini love attempt fall love elope marry gowri shankar try separate story take turn end happy note
Scrooge,musical,"On Christmas Eve, in 19th century London, Ebenezer Scrooge, a surly money-lender, does not share the merriment of Christmas. He declines his nephew Harry's invitation for Christmas dinner and reluctantly gives his loyal employee Bob Cratchit Christmas Day off. Cratchit and his children go shopping and prepare for the holiday (""Christmas Children""). As Scrooge leaves for home, he visits some of his clients including Tom Jenkins and declines two gentlemen's offer to collect money for charity (""I Hate People""). Before the return to his home, he is accosted by urchins (""Father Christmas"").
In his house, Scrooge encounters the ghost of his deceased business partner Jacob Marley, who warns him to repent his wicked ways or he will be condemned in the afterlife as he was, carrying heavy chains forged for his own greedy ways. Before leaving, Marley informs him that three spirits will visit him.
At one o'clock, Scrooge is visited by the Victorian upper-class Ghost of Christmas Past, who takes him back in time to his childhood and early adult life. They visit his lonely school days, and then his time as an employee under Mr. Fezziwig. Attending a Christmas party held by Fezziwig, Scrooge falling in love with his daughter, Isabel. However, the spirit shows Scrooge how Isabel left him when he chose money over her. He dismisses the spirit as he returns to the present.
Scrooge is visited by the gigantic, merry Ghost of Christmas Present, a jolly giant, who shows him the joys and wonder of Christmas Day. Scrooge and the spirit visit Bob's house, learning his family is surprisingly content with their small dinner, Scrooge taking pity on Bob's ill son Tiny Tim. Before the spirit leaves, Scrooge is warned that life is too short and comments that Tiny Tim might not survive until next Christmas.
Returning to his bedroom, Scrooge is visited by the Ghost of Christmas Yet to Come, a silent, cloaked figure who takes him into the future. Scrooge and the spirit witness Tom and the other citizens rejoicing at the death of Scrooge. The spirit transports Scrooge to Bob's house, where he discovers that Tiny Tim had died. The spirit escorts Scrooge to a cemetery, where the spirit points out his own grave.
Realizing this, Scrooge promises to change his ways before the spirit forces him to fall into the fires of Hell from his empty grave. Scrooge reunites with Marley, who has him adorned with the same chains made of his past sins by several demons.
Awakening in his bedroom on Christmas Day, with love and joy in his heart, a gleeful Scrooge decides to bring happiness to the citizens of London. He goes on a shopping spree, buying food and presents. He runs into Harry and his wife and gives them some overdue presents as well. They invite Scrooge to Christmas lunch, which he gladly accepts. Dressed as Father Christmas, Scrooge then delivers a giant turkey, presents and toys to the Cratchits, and after making his identity known, gives Bob a raise and promises that they will work to find the best doctors to make Tiny Tim better. Scrooge then frees all his clients from their debts, much to their delight. Scrooge returns home to get ready for lunch with his family and thanks Marley for helping him at a second chance at life.",musical christmas eve century london ebenezer scrooge surly money lender share merriment christmas decline nephew harry invitation christmas dinner reluctantly give loyal employee bob cratchit christmas day cratchit child shop prepare holiday christmas child scrooge leave home visit client include tom jenkin decline gentleman offer collect money charity hate people return home accost urchin father christmas house scrooge encounter ghost deceased business partner jacob marley warn repent wicked way condemn afterlife carry heavy chain forge greedy way leave marley inform spirit visit scrooge visit victorian upper class ghost christmas past take time childhood early adult life visit lonely school day time employee mr fezziwig attend christmas party hold fezziwig scrooge fall love daughter isabel spirit show scrooge isabel leave choose money dismiss spirit return present scrooge visit gigantic merry ghost christmas present jolly giant show joy wonder christmas day scrooge spirit visit bob house learn family surprisingly content small dinner scrooge take pity bob ill son tiny tim spirit leave scrooge warn life short comment tiny tim survive christmas return bedroom scrooge visit ghost christmas come silent cloak figure take future scrooge spirit witness tom citizen rejoice death scrooge spirit transport scrooge bob house discover tiny tim die spirit escort scrooge cemetery spirit point grave realize scrooge promise change way spirit force fall fire hell grave scrooge reunite marley adorn chain past sin demon awakening bedroom christmas day love joy heart gleeful scrooge decide bring happiness citizen london go shopping spree buy food present run harry wife give overdue present invite scrooge christmas lunch gladly accept dress father christmas scrooge deliver giant turkey present toy cratchit make identity know give bob raise promise work find good doctor tiny tim better scrooge free client debt delight scrooge return home ready lunch family thank marley help second chance life
